token_index,token,saliency,in_prompt,is_gender_lexicon
76,C,0.0038042892701923847,1.0,0.0
77,'m,0.000507050659507513,1.0,0.0
78,on,0.0002984172897413373,1.0,0.0
79,",",0.00021042954176664352,1.0,0.0
80,Ġwe,0.0014903536066412926,1.0,0.0
81,'re,0.00273544411174953,1.0,0.0
82,Ġroom,0.001471955794841051,1.0,0.0
83,mates,0.006520833820104599,1.0,0.0
84,!,0.0008359989151358604,1.0,0.0
85,Ġ,0.0034150686115026474,1.0,0.0
86,ĠMy,0.002483191667124629,1.0,0.0
87,Ġeyes,0.002099381759762764,1.0,0.0
88,!!,0.03838830441236496,1.0,0.0
89,ĠMy,0.0031417757272720337,1.0,0.0
90,Ġeyes,0.0024626576341688633,1.0,0.0
91,!!,0.006898571737110615,1.0,0.0
